productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extDescription,extCost,extTypeLine,extCardCategory,extCardType,extCardSubtype,extThreshold,extElement,extPowerRating,extLife,extFlavorText,extDefensePower
585151,Band of Thieves,Band of Thieves,https://tcgplayer-cdn.tcgplayer.com/product/585151_200w.jpg,77,23588,https://cpt.tcgcsv.com/25J6,2024-10-04T19:00:06.907,1,0.05,0.15,1.4,0.08,,Normal,Ordinary,Stealth,3,Ordinary Mortals with harmful ambitions,Spell,Minion,Mortal,AA,Air,3,,"The darker the night, 
the better to ply their crooked trade.",3
585152,Band of Thieves (Foil),Band of Thieves Foil,https://tcgplayer-cdn.tcgplayer.com/product/585152_200w.jpg,77,23588,https://cpt.tcgcsv.com/35J6,2024-10-04T19:00:07.08,1,0.64,0.99,12.0,0.93,,Foil,Ordinary,Stealth,3,Ordinary Mortals with harmful ambitions,Spell,Minion,Mortal,AA,Air,3,,"The darker the night, 
the better to ply their crooked trade.",3
585153,Beacon,Beacon,https://tcgplayer-cdn.tcgplayer.com/product/585153_200w.jpg,77,23588,https://cpt.tcgcsv.com/55J6,2024-10-04T19:00:07.22,1,0.09,0.2,1.0,0.16,,Normal,Exceptional,Genesis -> Gain (1) for each nearby site with an enemy atop it.,,An Exceptional Site alerts your forces,Site,Site,,A,Air,,,,
585154,Beacon (Foil),Beacon Foil,https://tcgplayer-cdn.tcgplayer.com/product/585154_200w.jpg,77,23588,https://cpt.tcgcsv.com/65J6,2024-10-04T19:00:07.283,1,1.35,1.81,25.0,1.6,,Foil,Exceptional,Genesis -> Gain (1) for each nearby site with an enemy atop it.,,An Exceptional Site alerts your forces,Site,Site,,A,Air,,,,
585155,Black Knight,Black Knight,https://tcgplayer-cdn.tcgplayer.com/product/585155_200w.jpg,77,23588,https://cpt.tcgcsv.com/75J6,2024-10-04T19:00:07.327,1,0.08,0.2,1.0,0.11,,Normal,Exceptional,Costs (2) less to cast if you have more life than each opponent.,5,An Exceptional Mortal sides with the strong,Spell,Minion,Mortal,FW,Fire;Water,5,,,3
585156,Black Knight (Foil),Black Knight Foil,https://tcgplayer-cdn.tcgplayer.com/product/585156_200w.jpg,77,23588,https://cpt.tcgcsv.com/85J6,2024-10-04T19:00:07.603,1,1.21,3.07,10.01,3.19,,Foil,Exceptional,Costs (2) less to cast if you have more life than each opponent.,5,An Exceptional Mortal sides with the strong,Spell,Minion,Mortal,FW,Fire;Water,5,,,3
585157,Blacksmith Family,Blacksmith Family,https://tcgplayer-cdn.tcgplayer.com/product/585157_200w.jpg,77,23588,https://cpt.tcgcsv.com/95J6,2024-10-04T19:00:07.687,1,0.05,0.15,0.79,0.08,,Normal,Ordinary,Provides (F),2,A skillful family of Ordinary Mortals,Spell,Minion,Mortal,F,Fire,2,,,2
585158,Blacksmith Family (Foil),Blacksmith Family Foil,https://tcgplayer-cdn.tcgplayer.com/product/585158_200w.jpg,77,23588,https://cpt.tcgcsv.com/b5J6,2024-10-04T19:00:07.747,1,0.68,1.02,4.99,1.02,,Foil,Ordinary,Provides (F),2,A skillful family of Ordinary Mortals,Spell,Minion,Mortal,F,Fire,2,,,2
585159,Bluecap Knockers,Bluecap Knockers,https://tcgplayer-cdn.tcgplayer.com/product/585159_200w.jpg,77,23588,https://cpt.tcgcsv.com/c5J6,2024-10-04T19:00:07.94,1,0.09,0.19,0.79,0.13,,Normal,Exceptional,"Burrowing<br><br>
<br><br>
Bluecap Knockers‚Äô site can't be moved, destroyed, or modified.",3,Exceptional Faeries maintain these tunnels,Spell,Minion,Faerie,EE,Earth,3,,,3
585160,Bluecap Knockers (Foil),Bluecap Knockers Foil,https://tcgplayer-cdn.tcgplayer.com/product/585160_200w.jpg,77,23588,https://cpt.tcgcsv.com/d5J6,2024-10-04T19:00:08.267,1,0.81,1.2,29.0,1.18,,Foil,Exceptional,"Burrowing<br><br>
<br><br>
Bluecap Knockers‚Äô site can't be moved, destroyed, or modified.",3,Exceptional Faeries maintain these tunnels,Spell,Minion,Faerie,EE,Earth,3,,,3
585161,Blue Knight,Blue Knight,https://tcgplayer-cdn.tcgplayer.com/product/585161_200w.jpg,77,23588,https://cpt.tcgcsv.com/f5J6,2024-10-08T15:18:25.077,1,0.07,0.2,1.0,0.1,,Normal,Exceptional,Lance,3,An Exceptional Mortal swears a solemn vow,Spell,Minion,Mortal,AW,Air;Water,3,,"In silver and azure armor adorned, the knight rode forth, 
a noble sentinel, radiating strength and chivalrous grace.",2
585162,Blue Knight (Foil),Blue Knight Foil,https://tcgplayer-cdn.tcgplayer.com/product/585162_200w.jpg,77,23588,https://cpt.tcgcsv.com/g5J6,2024-10-04T19:00:07.877,1,1.5,2.4,21.83,1.62,,Foil,Exceptional,Lance,3,An Exceptional Mortal swears a solemn vow,Spell,Minion,Mortal,AW,Air;Water,3,,"In silver and azure armor adorned, the knight rode forth, 
a noble sentinel, radiating strength and chivalrous grace.",2
585163,Blunderbore,Blunderbore,https://tcgplayer-cdn.tcgplayer.com/product/585163_200w.jpg,77,23588,https://cpt.tcgcsv.com/h5J6,2024-10-09T17:32:31.453,1,1.77,3.7,10.33,1.77,,Normal,Unique,Allied Giants banish the minions they kill to permanently gain +1 power.,5,A Unique Giant rings the dinner bell,Spell,Minion,Giant,FF,Fire,5,,"Blunderbore grinned, eyes gleaming in the night.
""Eat we shall, my brother, with relish and delight!""",5
585164,Blunderbore (Foil),Blunderbore Foil,https://tcgplayer-cdn.tcgplayer.com/product/585164_200w.jpg,77,23588,https://cpt.tcgcsv.com/j5J6,2024-10-09T17:32:44.98,1,65.99,65.99,66.99,47.89,,Foil,Unique,Allied Giants banish the minions they kill to permanently gain +1 power.,5,A Unique Giant rings the dinner bell,Spell,Minion,Giant,FF,Fire,5,,"Blunderbore grinned, eyes gleaming in the night.
""Eat we shall, my brother, with relish and delight!""",5
585165,Bog,Bog,https://tcgplayer-cdn.tcgplayer.com/product/585165_200w.jpg,77,23588,https://cpt.tcgcsv.com/k5J6,2024-10-04T19:00:08.437,1,0.05,0.15,1.43,0.11,,Normal,Ordinary,"Genesis -> Until your next turn, units are Immobile while atop target nearby site.",,An Ordinary Site of moldering muck,Site,Site,,W,Water,,,,
585166,Bog (Foil),Bog Foil,https://tcgplayer-cdn.tcgplayer.com/product/585166_200w.jpg,77,23588,https://cpt.tcgcsv.com/l5J6,2024-10-04T19:00:08.5,1,1.05,1.93,26.8,1.49,,Foil,Ordinary,"Genesis -> Until your next turn, units are Immobile while atop target nearby site.",,An Ordinary Site of moldering muck,Site,Site,,W,Water,,,,
585167,Bonfire,Bonfire,https://tcgplayer-cdn.tcgplayer.com/product/585167_200w.jpg,77,23588,https://cpt.tcgcsv.com/m5J6,2024-10-04T19:00:08.547,1,0.05,0.15,0.79,0.09,,Normal,Ordinary,Genesis -> You may destroy all Weapons and Armor nearby.,,An Ordinary Site of humanity restored,Site,Site,,F,Fire,,,,
585168,Bonfire (Foil),Bonfire Foil,https://tcgplayer-cdn.tcgplayer.com/product/585168_200w.jpg,77,23588,https://cpt.tcgcsv.com/n5J6,2024-10-04T19:00:08.613,1,0.75,1.63,30.0,1.0,,Foil,Ordinary,Genesis -> You may destroy all Weapons and Armor nearby.,,An Ordinary Site of humanity restored,Site,Site,,F,Fire,,,,
585169,Boudicca,Boudicca,https://tcgplayer-cdn.tcgplayer.com/product/585169_200w.jpg,77,23588,https://cpt.tcgcsv.com/p5J6,2024-10-04T19:00:08.673,1,8.0,10.12,34.0,8.3,,Normal,Unique,Other allies have +3 power while successfully attacking sites.,4,A Unique Mortal and revenging rebel,Spell,Minion,Mortal,FFF,Fire,3,,,3
585170,Boudicca (Foil),Boudicca Foil,https://tcgplayer-cdn.tcgplayer.com/product/585170_200w.jpg,77,23588,https://cpt.tcgcsv.com/q5J6,2024-10-04T19:00:08.737,1,61.7,83.65,149.95,42.47,,Foil,Unique,Other allies have +3 power while successfully attacking sites.,4,A Unique Mortal and revenging rebel,Spell,Minion,Mortal,FFF,Fire,3,,,3
585171,Bower of Bliss,Bower of Bliss,https://tcgplayer-cdn.tcgplayer.com/product/585171_200w.jpg,77,23588,https://cpt.tcgcsv.com/r5J6,2024-10-04T19:00:08.8,1,4.45,9.25,30.0,5.36,,Normal,Unique,Mortals in the realm become Beasts and are silenced.,,A Unique Site to forget your worldly worries,Site,Site,,,,,,,
585172,Bower of Bliss (Foil),Bower of Bliss Foil,https://tcgplayer-cdn.tcgplayer.com/product/585172_200w.jpg,77,23588,https://cpt.tcgcsv.com/s5J6,2024-10-04T19:00:08.85,1,81.0,92.18,143.96,98.5,,Foil,Unique,Mortals in the realm become Beasts and are silenced.,,A Unique Site to forget your worldly worries,Site,Site,,,,,,,
585173,Briar Patch,Briar Patch,https://tcgplayer-cdn.tcgplayer.com/product/585173_200w.jpg,77,23588,https://cpt.tcgcsv.com/t5J6,2024-10-04T19:00:08.897,1,0.09,0.2,0.79,0.14,,Normal,Exceptional,"Whenever an enemy unit enters or leaves this site, it takes 1 damage.",,An Exceptional Site of painful passage,Site,Site,,E,Earth,,,,
585174,Briar Patch (Foil),Briar Patch Foil,https://tcgplayer-cdn.tcgplayer.com/product/585174_200w.jpg,77,23588,https://cpt.tcgcsv.com/v5J6,2024-10-04T19:00:08.977,1,1.15,1.55,12.75,1.33,,Foil,Exceptional,"Whenever an enemy unit enters or leaves this site, it takes 1 damage.",,An Exceptional Site of painful passage,Site,Site,,E,Earth,,,,
585175,Broceliande,Broceliande,https://tcgplayer-cdn.tcgplayer.com/product/585175_200w.jpg,77,23588,https://cpt.tcgcsv.com/w5J6,2024-10-07T11:22:03.437,1,4.97,7.77,29.0,4.97,,Normal,Unique,Genesis -> Untap nearby Faeries. Tap nearby Mortals. Give nearby Beasts Stealth.,,A Unique Site of wondrous wilderness,Site,Site,,,,,,,
585176,Broceliande (Foil),Broceliande Foil,https://tcgplayer-cdn.tcgplayer.com/product/585176_200w.jpg,77,23588,https://cpt.tcgcsv.com/x5J6,2024-12-30T13:30:09.403,1,46.97,48.5,148.95,53.45,,Foil,Unique,Genesis -> Untap nearby Faeries. Tap nearby Mortals. Give nearby Beasts Stealth.,,A Unique Site of wondrous wilderness,Site,Site,,,,,,,
585177,Brother Knight,Brother Knight,https://tcgplayer-cdn.tcgplayer.com/product/585177_200w.jpg,77,23588,https://cpt.tcgcsv.com/z5J6,2024-10-04T19:00:09.147,1,0.85,1.1,11.28,1.11,,Normal,Elite,Genesis -> You may search your spellbook or hand for another Brother Knight and summon it here. Shuffle if needed.,4,An Elite Mortal bound by blood,Spell,Minion,Mortal,FF,Fire,3,,,2
585178,Brother Knight (Foil),Brother Knight Foil,https://tcgplayer-cdn.tcgplayer.com/product/585178_200w.jpg,77,23588,https://cpt.tcgcsv.com/B5J6,2024-10-04T19:00:09.21,1,31.67,34.98,69.6,12.33,,Foil,Elite,Genesis -> You may search your spellbook or hand for another Brother Knight and summon it here. Shuffle if needed.,4,An Elite Mortal bound by blood,Spell,Minion,Mortal,FF,Fire,3,,,2
585179,Brown Bears,Brown Bears,https://tcgplayer-cdn.tcgplayer.com/product/585179_200w.jpg,77,23588,https://cpt.tcgcsv.com/C5J6,2024-10-04T19:00:09.257,1,0.05,0.15,0.79,0.09,,Normal,Ordinary,,4,A territorial sloth of Ordinary Beasts,Spell,Minion,Beast,EE,Earth,4,,"Travel deep into the woods and you‚Äôll 
find one of two things: peace or bears.",4
585180,Brown Bears (Foil),Brown Bears Foil,https://tcgplayer-cdn.tcgplayer.com/product/585180_200w.jpg,77,23588,https://cpt.tcgcsv.com/D5J6,2024-10-04T19:00:09.327,1,0.76,1.0,12.0,0.93,,Foil,Ordinary,,4,A territorial sloth of Ordinary Beasts,Spell,Minion,Beast,EE,Earth,4,,"Travel deep into the woods and you‚Äôll 
find one of two things: peace or bears.",4
585181,Bruin (Box Topper),Bruin Box Topper,https://tcgplayer-cdn.tcgplayer.com/product/585181_200w.jpg,77,23588,https://cpt.tcgcsv.com/F5J6,2024-10-04T19:00:09.453,0,0.07,0.25,17.75,0.15,,Normal,Unique,"While near your Avatar, Bruin takes damage for them.",,"A Unique, large and fluffy Beast",Token,Minion,Beast,,,4,,,4
585182,Burning Hands,Burning Hands,https://tcgplayer-cdn.tcgplayer.com/product/585182_200w.jpg,77,23588,https://cpt.tcgcsv.com/G5J6,2024-10-04T19:00:09.5,1,0.01,0.15,0.79,0.08,,Normal,Ordinary,May be cast by an allied Mortal. Choose two different cardinal directions and deal damage to each unit at locations in the area of effect:,3,Ordinary Magic of bilateral blaze,Spell,Magic,,F,Fire,,,,
585183,Burning Hands (Foil),Burning Hands Foil,https://tcgplayer-cdn.tcgplayer.com/product/585183_200w.jpg,77,23588,https://cpt.tcgcsv.com/H5J6,2024-10-04T19:00:09.58,1,0.77,1.0,12.0,0.93,,Foil,Ordinary,May be cast by an allied Mortal. Choose two different cardinal directions and deal damage to each unit at locations in the area of effect:,3,Ordinary Magic of bilateral blaze,Spell,Magic,,F,Fire,,,,
585184,Caerleon-Upon-Usk,Caerleon Upon Usk,https://tcgplayer-cdn.tcgplayer.com/product/585184_200w.jpg,77,23588,https://cpt.tcgcsv.com/J5J6,2024-10-04T19:00:09.72,1,19.75,21.35,25.0,19.76,,Normal,Unique,Only provides mana and threshold while in your back row.,,A Unique Site and city of legions,Site,Site,,EFW,Earth;Fire;Water,,,,
585185,Caerleon-Upon-Usk (Foil),Caerleon Upon Usk Foil,https://tcgplayer-cdn.tcgplayer.com/product/585185_200w.jpg,77,23588,https://cpt.tcgcsv.com/K5J6,2024-10-04T19:00:09.85,1,149.88,149.93,199.99,77.11,,Foil,Unique,Only provides mana and threshold while in your back row.,,A Unique Site and city of legions,Site,Site,,EFW,Earth;Fire;Water,,,,
585186,Camelot,Camelot,https://tcgplayer-cdn.tcgplayer.com/product/585186_200w.jpg,77,23588,https://cpt.tcgcsv.com/L5J6,2024-10-04T19:00:09.993,1,3.68,6.0,29.99,4.23,,Normal,Unique,Unique minions cost (1) less to cast to nearby sites.,,A Unique Site where kings hold court,Site,Site,,,,,,,
585187,Camelot (Foil),Camelot Foil,https://tcgplayer-cdn.tcgplayer.com/product/585187_200w.jpg,77,23588,https://cpt.tcgcsv.com/M5J6,2024-10-04T19:00:10.147,1,69.99,71.87,100.0,73.28,,Foil,Unique,Unique minions cost (1) less to cast to nearby sites.,,A Unique Site where kings hold court,Site,Site,,,,,,,
585188,Cast into Exile,Cast into Exile,https://tcgplayer-cdn.tcgplayer.com/product/585188_200w.jpg,77,23588,https://cpt.tcgcsv.com/N5J6,2024-10-09T20:02:13.863,1,0.05,0.2,1.0,0.13,,Normal,Exceptional,Shuffle target minion occupying an allied site into its owner's spellbook.,2,Exceptional Magic to expel the unwanted,Spell,Magic,,AA,Air,,,"""But as for your son, Sir Uwaine, I hold him suspect, therefore I 
charge you put him out of my court."" — Malory, le Morte D'Arthur",
585189,Cast into Exile (Foil),Cast into Exile Foil,https://tcgplayer-cdn.tcgplayer.com/product/585189_200w.jpg,77,23588,https://cpt.tcgcsv.com/P5J6,2024-10-09T20:02:31.98,1,3.5,4.95,14.99,4.22,,Foil,Exceptional,Shuffle target minion occupying an allied site into its owner's spellbook.,2,Exceptional Magic to expel the unwanted,Spell,Magic,,AA,Air,,,"""But as for your son, Sir Uwaine, I hold him suspect, therefore I 
charge you put him out of my court."" — Malory, le Morte D'Arthur",
585190,Castle Haunt,Castle Haunt,https://tcgplayer-cdn.tcgplayer.com/product/585190_200w.jpg,77,23588,https://cpt.tcgcsv.com/Q5J6,2024-10-04T19:00:10.373,1,0.08,0.19,1.0,0.11,,Normal,Exceptional,"May be cast to any Elite or Unique site.<br>
<br>
Dies if it leaves its summoning site.",3,An Exceptional Spirit haunts these halls,Spell,Minion,Spirit,A,Air,4,,,4
585191,Castle Haunt (Foil),Castle Haunt Foil,https://tcgplayer-cdn.tcgplayer.com/product/585191_200w.jpg,77,23588,https://cpt.tcgcsv.com/R5J6,2024-10-04T19:00:10.453,1,1.02,1.4,15.01,1.4,,Foil,Exceptional,"May be cast to any Elite or Unique site.<br>
<br>
Dies if it leaves its summoning site.",3,An Exceptional Spirit haunts these halls,Spell,Minion,Spirit,A,Air,4,,,4
585192,Castle's Ablaze!,Castles Ablaze,https://tcgplayer-cdn.tcgplayer.com/product/585192_200w.jpg,77,23588,https://cpt.tcgcsv.com/S5J6,2024-10-04T19:00:10.927,1,0.15,0.43,2.99,0.43,,Normal,Elite,"Conjure atop an Elite or Unique site.<br>
<br>
At the start of your turn, destroy this site, minions atop it, and Castle's Ablaze.",3,An Aura of Elite incendiarism,Spell,Aura,,FF,Fire,,,,
585193,Castle's Ablaze! (Foil),Castles Ablaze Foil,https://tcgplayer-cdn.tcgplayer.com/product/585193_200w.jpg,77,23588,https://cpt.tcgcsv.com/T5J6,2024-10-04T19:00:11.07,1,10.0,12.08,75.0,12.37,,Foil,Elite,"Conjure atop an Elite or Unique site.<br>
<br>
At the start of your turn, destroy this site, minions atop it, and Castle's Ablaze.",3,An Aura of Elite incendiarism,Spell,Aura,,FF,Fire,,,,
